                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 0.7835,                0.67355,                 1.1109,                0.94975,                 0.8935,                0.94872,                 0.8471,                0.56422,                0.38144,                0.96062,               0.004852,               0.004852,               0.004852
                    107,                0.78632,                0.66945,                 1.1144,                0.94903,                0.89479,                0.94908,                0.84732,                0.56414,                0.38108,                0.96041,              0.0048025,              0.0048025,              0.0048025
                    108,                0.78208,                0.66297,                 1.1117,                0.95049,                0.89479,                0.94921,                0.84744,                0.56372,                0.38074,                 0.9601,               0.004753,               0.004753,               0.004753
                    109,                0.77021,                0.65837,                 1.1017,                 0.9504,                0.89498,                0.94933,                0.84791,                0.56321,                0.38027,                0.95957,              0.0047035,              0.0047035,              0.0047035
                    110,                0.77368,                0.65739,                 1.1077,                0.95101,                0.89537,                0.94937,                0.84791,                0.56252,                0.37958,                0.95915,               0.004654,               0.004654,               0.004654
                    111,                0.77402,                0.65822,                 1.1062,                0.94725,                0.89673,                0.94956,                0.84832,                0.56222,                0.37922,                0.95895,              0.0046045,              0.0046045,              0.0046045
                    112,                0.77182,                0.65682,                 1.1037,                0.95014,                0.89576,                0.94946,                0.84816,                0.56164,                0.37875,                0.95858,               0.004555,               0.004555,               0.004555
                    113,                0.77165,                0.66149,                 1.1053,                0.94856,                 0.8969,                0.94953,                0.84853,                0.56155,                 0.3784,                0.95855,              0.0045055,              0.0045055,              0.0045055
                    114,                0.76818,                0.65293,                 1.0995,                0.94845,                0.89731,                0.94955,                 0.8485,                0.56089,                0.37794,                0.95817,               0.004456,               0.004456,               0.004456
                    115,                 0.7644,                0.64784,                 1.0999,                0.94844,                0.89711,                0.94946,                 0.8487,                0.56071,                 0.3777,                0.95794,              0.0044065,              0.0044065,              0.0044065
                    116,                0.76484,                0.66171,                  1.099,                0.94875,                0.89674,                 0.9494,                 0.8488,                0.56069,                0.37755,                0.95779,               0.004357,               0.004357,               0.004357
                    117,                0.76571,                0.64808,                 1.1039,                0.94874,                0.89731,                0.94955,                 0.8492,                0.56019,                 0.3775,                 0.9575,              0.0043075,              0.0043075,              0.0043075
                    118,                0.76818,                 0.6528,                 1.1057,                0.94809,                0.89673,                 0.9494,                0.84982,                0.56003,                0.37695,                0.95734,               0.004258,               0.004258,               0.004258
                    119,                0.76155,                0.64138,                 1.0968,                0.94845,                0.89692,                0.94977,                0.85006,                0.55982,                0.37667,                0.95713,              0.0042085,              0.0042085,              0.0042085
                    120,                0.76666,                0.65837,                 1.1024,                 0.9485,                0.89653,                0.94979,                0.85004,                0.55941,                 0.3762,                0.95657,               0.004159,               0.004159,               0.004159
                    121,                0.75701,                 0.6371,                  1.094,                0.94836,                0.89672,                0.94994,                0.85024,                0.55888,                0.37548,                0.95626,              0.0041095,              0.0041095,              0.0041095
                    122,                0.76271,                0.64763,                 1.0984,                0.94891,                0.89731,                0.95024,                0.85075,                0.55859,                 0.3754,                0.95612,                0.00406,                0.00406,                0.00406
                    123,                0.76157,                0.64545,                 1.0984,                0.94862,                0.89798,                0.95027,                0.85066,                0.55803,                0.37511,                 0.9557,              0.0040105,              0.0040105,              0.0040105
                    124,                0.75961,                0.65069,                 1.0981,                0.94846,                0.89886,                0.95011,                 0.8507,                 0.5576,                0.37456,                0.95538,               0.003961,               0.003961,               0.003961
                    125,                  0.763,                0.64854,                 1.1012,                0.94978,                0.89808,                0.95033,                 0.8511,                0.55717,                 0.3743,                0.95516,              0.0039115,              0.0039115,              0.0039115
                    126,                0.75166,                0.64442,                 1.0968,                0.94944,                 0.8987,                0.95035,                  0.851,                0.55713,                0.37392,                0.95485,               0.003862,               0.003862,               0.003862
                    127,                0.75603,                 0.6379,                 1.0965,                0.94966,                0.89905,                0.95034,                0.85092,                0.55679,                0.37359,                0.95451,              0.0038125,              0.0038125,              0.0038125
                    128,                0.75186,                0.63714,                 1.0892,                 0.9498,                0.89944,                0.95037,                0.85093,                0.55641,                0.37313,                0.95415,               0.003763,               0.003763,               0.003763
                    129,                0.74626,                0.63186,                 1.0889,                 0.9486,                0.90105,                0.95053,                0.85128,                0.55574,                0.37308,                0.95382,              0.0037135,              0.0037135,              0.0037135
                    130,                0.75397,                0.64235,                 1.0927,                0.94913,                0.90176,                0.95082,                0.85111,                0.55558,                0.37279,                0.95363,               0.003664,               0.003664,               0.003664
                    131,                0.74951,                0.63099,                  1.092,                0.94912,                0.90157,                0.95076,                 0.8514,                0.55535,                0.37237,                0.95351,              0.0036145,              0.0036145,              0.0036145
                    132,                0.74247,                0.62642,                 1.0852,                0.94923,                0.90199,                0.95079,                0.85194,                0.55515,                0.37167,                0.95324,               0.003565,               0.003565,               0.003565
                    133,                0.74127,                0.63047,                 1.0863,                0.94873,                0.90234,                0.95077,                  0.852,                0.55464,                0.37145,                0.95291,              0.0035155,              0.0035155,              0.0035155
                    134,                0.74279,                0.62257,                 1.0811,                0.94921,                0.90165,                0.95069,                0.85226,                0.55448,                0.37087,                0.95274,               0.003466,               0.003466,               0.003466
                    135,                0.74764,                0.62619,                 1.0871,                0.94888,                0.90266,                0.95083,                0.85218,                0.55403,                0.37071,                0.95235,              0.0034165,              0.0034165,              0.0034165
                    136,                0.73498,                0.62179,                 1.0808,                0.94866,                0.90331,                0.95128,                0.85271,                0.55355,                0.37032,                0.95199,               0.003367,               0.003367,               0.003367
                    137,                0.74462,                0.62565,                 1.0853,                0.94857,                0.90273,                 0.9509,                0.85264,                0.55292,                0.37026,                0.95169,              0.0033175,              0.0033175,              0.0033175
                    138,                0.73739,                0.62861,                  1.085,                0.94958,                0.90312,                0.95173,                0.85322,                0.55258,                0.36963,                0.95135,               0.003268,               0.003268,               0.003268
                    139,                0.73846,                0.62076,                 1.0851,                0.95064,                0.90302,                0.95179,                 0.8533,                0.55211,                0.36907,                0.95096,              0.0032185,              0.0032185,              0.0032185
                    140,                0.72834,                0.62243,                 1.0777,                0.95091,                0.90312,                0.95209,                0.85327,                0.55195,                0.36891,                0.95071,               0.003169,               0.003169,               0.003169
                    141,                0.73541,                0.62388,                 1.0829,                0.95084,                0.90318,                0.95182,                0.85359,                0.55142,                0.36872,                 0.9503,              0.0031195,              0.0031195,              0.0031195
                    142,                0.72695,                0.61233,                 1.0779,                0.95092,                0.90293,                0.95184,                0.85371,                0.55121,                0.36864,                0.95005,                0.00307,                0.00307,                0.00307
                    143,                0.73096,                0.61716,                 1.0811,                0.95126,                0.90376,                0.95218,                0.85388,                 0.5507,                0.36801,                0.94965,              0.0030205,              0.0030205,              0.0030205
                    144,                0.72246,                0.60488,                 1.0736,                0.95131,                 0.9037,                0.95213,                0.85432,                0.55028,                0.36752,                0.94923,               0.002971,               0.002971,               0.002971
                    145,                 0.7231,                0.61467,                 1.0716,                0.95153,                 0.9037,                0.95215,                0.85441,                0.54971,                0.36714,                 0.9487,              0.0029215,              0.0029215,              0.0029215
                    146,                0.71995,                0.60783,                 1.0698,                0.95128,                0.90389,                0.95239,                0.85459,                0.54927,                0.36669,                0.94839,               0.002872,               0.002872,               0.002872
                    147,                0.72344,                0.60866,                 1.0684,                0.95105,                0.90342,                0.95239,                0.85449,                0.54853,                0.36613,                0.94789,              0.0028225,              0.0028225,              0.0028225
                    148,                0.72312,                0.61041,                 1.0729,                0.95172,                 0.9037,                0.95259,                0.85499,                0.54775,                0.36588,                0.94744,               0.002773,               0.002773,               0.002773
                    149,                0.72132,                0.60466,                 1.0714,                 0.9513,                0.90458,                0.95278,                0.85508,                0.54767,                0.36561,                0.94718,              0.0027235,              0.0027235,              0.0027235
                    150,                0.71649,                0.60277,                  1.069,                0.95214,                0.90389,                0.95273,                0.85551,                0.54729,                 0.3653,                0.94699,               0.002674,               0.002674,               0.002674
                    151,                0.71987,                 0.5938,                 1.0718,                0.95162,                0.90409,                0.95297,                0.85553,                0.54642,                0.36499,                0.94662,              0.0026245,              0.0026245,              0.0026245
                    152,                0.72246,                0.60804,                 1.0728,                0.95239,                0.90448,                0.95325,                0.85589,                0.54603,                0.36485,                0.94634,               0.002575,               0.002575,               0.002575
                    153,                0.71532,                0.59739,                 1.0695,                0.95245,                0.90448,                 0.9535,                0.85633,                0.54522,                0.36439,                0.94586,              0.0025255,              0.0025255,              0.0025255
                    154,                0.71263,                0.59893,                 1.0645,                 0.9529,                0.90448,                0.95364,                0.85672,                0.54439,                0.36413,                0.94519,               0.002476,               0.002476,               0.002476
                    155,                0.71681,                0.59977,                 1.0698,                0.95315,                0.90486,                0.95378,                0.85731,                0.54392,                0.36396,                0.94484,              0.0024265,              0.0024265,              0.0024265
                    156,                 0.7092,                0.59526,                 1.0662,                0.95327,                0.90506,                0.95396,                0.85727,                0.54376,                0.36388,                0.94462,               0.002377,               0.002377,               0.002377
                    157,                0.71426,                0.59627,                 1.0632,                0.95298,                0.90544,                 0.9542,                0.85751,                0.54313,                0.36368,                0.94407,              0.0023275,              0.0023275,              0.0023275
